index_type,area_no,request_time,today_value,tomorrow_value,after_tomorrow_value,raw_values
자외선지수,4146355000,2026061000,0,0,0,"{'code': 'A07_2', 'areaNo': '4146355000', 'date': '2026061000', 'h0': '0', 'h3': '0', 'h6': '2', 'h9': '6', 'h12': '5', 'h15': '5', 'h18': '0', 'h21': '0', 'h24': '0', 'h27': '0', 'h30': '2', 'h33': '8', 'h36': '9', 'h39': '6', 'h42': '1', 'h45': '0', 'h48': '0', 'h51': '0', 'h54': '2', 'h57': '7', 'h60': '9', 'h63': '6', 'h66': '1', 'h69': '0', 'h72': '', 'h75': '', 'index_type': '자외선지수', 'h78': nan}"
대기정체지수,4146355000,2026061000,,75,100,"{'code': 'A09', 'areaNo': '4146355000', 'date': '2026061000', 'h0': nan, 'h3': '75', 'h6': '75', 'h9': '50', 'h12': '50', 'h15': '50', 'h18': '50', 'h21': '75', 'h24': '75', 'h27': '75', 'h30': '75', 'h33': '100', 'h36': '50', 'h39': '50', 'h42': '75', 'h45': '100', 'h48': '100', 'h51': '100', 'h54': '75', 'h57': '50', 'h60': '50', 'h63': '50', 'h66': '75', 'h69': '100', 'h72': '100', 'h75': '', 'index_type': '대기정체지수', 'h78': ''}"
