alert_id,created_at,region,message,emergency_level,disaster_category
259288,2026/06/11 21:00:24,경기도 군포시 ,군포 금정고가 낙석으로 인하여 호계방면 고가차로를 전면 통제 중이오니 우회하여 돌아가시기 바랍니다. [군포시],안전안내,교통사고
259289,2026/06/11 21:04:42,경기도 군포시 ,군포 금정고가 낙석으로 인하여 호계방면 고가차로를 전면 통제 중이오니 우회하여 돌아가시기 바랍니다. [군포시],안전안내,기타
259279,2026/06/11 09:55:02,충청남도 천안시 서북구 성거읍,어제 20시경 발생한 성거읍 오목리 12-4 화재로 연기 발생 중. 인근 시민분들은 야외활동 자제하시고 야외활동 시에는 마스크를 착용바랍니다. [천안시],안전안내,화재
259284,2026/06/11 16:36:04,강원특별자치도 양양군 ,강원 동해안에 강한 소나기로 인해 평소보다 파도가 더 가까이 밀려올 수 있으니 해안가 접근을 자제하시고 안전한 곳으로 이동하시기 바랍니다.[양양군],안전안내,기타
259287,2026/06/11 18:58:10,경기도 군포시 ,금정고가에서 호계 방면 고가 밑 돌이 떨어지고 있어 전면통제 중이오니 우회해서 돌아가시기 바랍니다.[군포시청],안전안내,기타
259291,2026/06/11 22:13:58,경기도 군포시 ,금정고가교( 군포역에서 호계방향 )전면통제 중이오니 우회바랍니다 [군포시],안전안내,기타
259283,2026/06/11 15:42:31,충청남도 부여군 ,"금일 저녁까지 전국에 비 또는 소나기가 내릴 것으로 예상됩니다.
돌풍과 함께 천둥·번개가 치고 우박이 떨어질 것으로 예상되니 안전에 유의 바랍니다.[부여군]",안전안내,호우
259277,2026/06/11 08:29:54,경상남도 사천시 ,"자전거대회 관련 교통통제 알림, 6. 11.(목) 09:00~13:00/우주항공청▶소산마을▶이동삼거리▶배춘삼거리▶탑리삼거리▶목단마을입구▶서포삼거리▶사천대교▶인성주유소▶봉현삼거리▶소산마을▶우주항공청[사천시]",안전안내,기타
259280,2026/06/11 10:02:25,경상남도 산청군 ,"작은 불씨가 큰 산불로 커질 수 있습니다. 영농부산물 및 쓰레기 불법소각 금지, 실수로 산불을 내더라도 3년 이하의 징역형에 처해질 수 있습니다.  [산청군]",안전안내,산불
259282,2026/06/11 14:16:33,인천광역시 계양구 ,"금일 인천 계양구 작전동 429-3 화재 발생 및 진화 중으로 인근 도로가 매우 혼잡하오니, 인근 차량은 우회하시고 통행 안전에 유의하세요. [계양구청]",안전안내,화재
259290,2026/06/11 21:13:43,충청남도 천안시 동남구 광덕면,오늘 20:34 광덕면 매당리 86-5 화재 발생 및 진압으로 인한 연기 발생 중. 인근 주민은 창문을 닫아주시고 안전에 유의바랍니다. [천안시],안전안내,화재
259263,2026/06/10 07:19:42,부산광역시 부산진구 ,백양터널 내 중간지점 (당감에서 모라 방향) 2차로 관광버스 차량 고장으로 통행이 혼잡하오니 우회하시기 바랍니다. [부산진구],안전안내,기타
259268,2026/06/10 14:00:14,경상남도 사천시 ,"자전거대회 관련 교통통제 알림, 6. 11.(목) 09:00~13:00/우주항공청▶소산마을▶이동삼거리▶배춘삼거리▶탑리삼거리▶목단마을입구▶서포삼거리▶사천대교▶인성주유소▶봉현삼거리▶소산마을▶우주항공청[사천시]",안전안내,기타
259269,2026/06/10 14:00:25,경기도 김포시 ,"금일 15:00부터 16:00까지 장기지하차도 침수 대비 훈련으로 지하차도 진입이 통제되오니, 지하차도 상부도로로 우회하여 주시기 바랍니다. [김포시]",안전안내,기타
259264,2026/06/10 08:00:11,경상남도 통영시 ,"오늘 9시부터 14시까지 투르 드 경남 2026(국제 도로사이클대회) 관련 안전사고 예방을 위해, 트라이광장~산양읍~통영터널~원문고개~도산면~트라이광장 구간 도로 교통통제가 실시될 예정이니 시민 여러분의 협조 부탁드립니다. [통영시]",안전안내,기타
259265,2026/06/10 10:03:11,경상남도 산청군 ,"작은 불씨가 큰 산불로 커질 수 있습니다. 영농부산물 및 쓰레기 불법소각 금지, 실수로 산불을 내더라도 3년 이하의 징역형에 처해질 수 있습니다.  [산청군]",안전안내,산불
259262,2026/06/10 05:06:49,경상북도 경주시 ,"오늘 00:39분 건천읍 하늘마루길 에코인슈텍 대형화재발생. 사고지점에서 먼 곳으로 이동하시고, 차량은 우회하시기바랍니다  [경주시]",안전안내,화재
259271,2026/06/10 19:40:25,대구광역시 달성군 ,"(사전 대피권고)19:18 구지면 창리 6-1 산불 확산이 우려되니, 인근 주민은 현풍읍 대2리 회관으로 미리 대피할 것을 권고합니다. [달성군]",긴급재난,산불
259272,2026/06/10 20:20:53,대구광역시 달성군 ,(대피명령 해제) 19:18구지면 창리 6-1 화재 상황 종료. 인근 주민은 일상생활로 복귀 바랍니다. [달성군],긴급재난,산불
